Image Name, TCP poses (t00, t10, t20, t30, t10, t11, t12, t13, t20, t21, t22, t23, t30, t31, t32, t33) 
1739197292367499589,(-0.18991254609813601, 0.8736803687608947, 0.44790155597832937, 0.0, 0.969324592240658, 0.0943534118747476, 0.2269520529022252, 0.0, 0.15602251862051802, 0.47726305165752914, -0.864798793480803, 0.0, 0.47879527481176565, -0.23514140519694804, -0.05478228679753577, 1.0)
1739197561754431486,(-0.925032331025025, 0.2827272361090512, 0.25373305321144746, 0.0, 0.28762052690772166, 0.9575674092108333, -0.018413448618751632, 0.0, -0.24817249432463862, 0.05594580107551137, -0.9670990023791289, 0.0, 0.6069646865346947, -0.07772298234703263, -0.0795943604857812, 1.0)
1739197618807934999,(-0.8411242224356887, 0.4011019663174421, 0.3628046593136561, 0.0, 0.40621437038459196, 0.9114024356083342, -0.06584414500700708, 0.0, -0.35707127840334857, 0.09199336413353033, -0.929536079501379, 0.0, 0.5848640430803227, -0.10665082510862908, -0.1673459460249888, 1.0)
1739197644484736680,(-0.06053605490982927, 0.6790541690271517, 0.7315878534764346, 0.0, 0.9926204450052873, -0.03619772042187275, 0.11573393177985342, 0.0, 0.10507142505363291, 0.7331951614235981, -0.6718518072478652, 0.0, 0.46245872030963103, -0.13385974900307235, -0.24867516369179776, 1.0)
1739197677811173915,(0.44276770111504005, 0.4979623159426339, 0.7456475444349089, 0.0, 0.8002923704508013, -0.5944885361380317, -0.07820145759610592, 0.0, 0.4043375520712651, 0.6313611420708769, -0.6617357873562341, 0.0, 0.40474136158277696, -0.11531732560102725, -0.227571808932672, 1.0)
1739197713013878583,(0.1173862414364637, 0.9824206162207337, 0.14515567132341817, 0.0, 0.9826446514261276, -0.13604472021043323, 0.12610031283842082, 0.0, 0.1436312146527878, 0.12783400665763295, -0.9813401759426856, 0.0, 0.4465855860954042, -0.08587019109076093, -0.1777563030676905, 1.0)
1739197957677556991,(-0.23719869038237357, 0.9229813910448448, -0.3030546136214862, 0.0, 0.8508693375776217, 0.3479231400398153, 0.3936633393732677, 0.0, 0.4687836653986192, -0.1644834554210939, -0.8678635076716688, 0.0, 0.39406741235416143, 0.061252014594589586, 0.057082538285656986, 1.0)
1739198024129339218,(-0.829486657965707, 0.546358739148278, -0.11594817025138507, 0.0, 0.5448995132170098, 0.8371961185018153, 0.04676692669845069, 0.0, 0.12262288138385515, -0.024387560632708256, -0.9921536553616618, 0.0, 0.42083896362807, 0.024875657229885266, 0.5039401348547563, 1.0)
1739198064552257537,(-0.875941218848886, 0.4415675103390313, -0.1942809324302716, 0.0, 0.45392715411536805, 0.8907664033206681, -0.02202996239992236, 0.0, 0.1633312173554919, -0.10748634655183738, -0.9806985259202297, 0.0, 0.4564696836486558, 0.0486622594508371, 0.2708495465694588, 1.0)
1739198186422607421,(-0.40203139750497807, 0.9018226378870116, 0.15838766046054376, 0.0, 0.9080421445631872, 0.37047334722185526, 0.1954710425274827, 0.0, 0.1176018084985408, 0.22240817488872439, -0.9678349127720796, 0.0, 0.4959803003015751, -0.13311823178683238, -0.07684678479082771, 1.0)
1739198229671175718,(-0.9076499360586295, 0.33318061285823636, -0.25526895337983, 0.0, 0.402093478351366, 0.864657302889186, -0.3011453951153106, 0.0, 0.12038436155737542, -0.3759765928695014, -0.9187759286717652, 0.0, 0.518148721442101, 0.019026951709722253, -0.11188835184212945, 1.0)
1739198390998851537,(-0.10436140891524465, 0.9170057709019961, -0.3849793218253664, 0.0, 0.9808622475437943, 0.03092581672399547, -0.19223113945130918, 0.0, -0.16437126990080644, -0.39767320902581016, -0.9026838341602837, 0.0, 0.6474831237088225, 0.1490207411022651, 0.08802237260202317, 1.0)
1739198440564462423,(-0.12206839074520798, 0.8710477515122381, -0.4757889115330536, 0.0, 0.8973146549053328, -0.10801888903987522, -0.42796997029484785, 0.0, -0.42417648450032097, -0.4791739849226592, -0.7684182469009233, 0.0, 0.5631683725651095, 0.047443248619604556, -0.055981690295866554, 1.0)
1739198495054913520,(-0.7571982676120916, 0.6268033088260575, -0.18376169715534213, 0.0, 0.5896119954305308, 0.5348303850297583, -0.6052388948711134, 0.0, -0.2810844123132362, -0.5666339630263806, -0.7745434171817234, 0.0, 0.5983445387859592, 0.06100972938904993, -0.08153729915316665, 1.0)
1739198576589065313,(-0.6654348453690327, 0.7058993756806751, -0.2426983802042828, 0.0, 0.7159252269740962, 0.6955781177015752, 0.06018402884720109, 0.0, 0.21129955809337894, -0.13370534758091313, -0.9682331210910986, 0.0, 0.4935816145701056, -0.03663452448331593, -0.0674564067366138, 1.0)
